"NAME","FULLNAME","POPULATION2010","NRLANGUAGES2010","COLOR","tooltip","POPULATION2011"
"IMN","Isle of Man",0,0,"#0050ff","Isle of Man
Exports: 0",0
"JOR","Jordan",0,0,"#0050ff","Jordan
Exports: 0",0
"KIR","Kiribati",0,0,"#0050ff","Kiribati
Exports: 0",0
"KNA","Saint Kitts & Nevis",0,0,"#0050ff","Saint Kitts & Nevis
Exports: 0",0
"LBR","Liberia",0,0,"#0050ff","Liberia
Exports: 0",0
"LBY","Libya",0,0,"#0050ff","Libya
Exports: 0",0
"LCA","Saint Lucia",0,0,"#0050ff","Saint Lucia
Exports: 0",0
"LIE","Liechtenstein",0,0,"#0050ff","Liechtenstein
Exports: 0",0
"LSO","Lesotho",0,0,"#0050ff","Lesotho
Exports: 0",0
"MCO","Monaco",0,0,"#0050ff","Monaco
Exports: 0",0
"MHL","Marshall Islands",0,0,"#0050ff","Marshall Islands
Exports: 0",0
"MNG","Mongolia",0,0,"#0050ff","Mongolia
Exports: 0",0
"MNP","Northern Mariana Islands",0,0,"#0050ff","Northern Mariana Islands
Exports: 0",0
"MSR","Montserrat",0,0,"#0050ff","Montserrat
Exports: 0",0
"MTQ","Martinique",0,0,"#0050ff","Martinique
Exports: 0",0
"MYT","Mayotte",0,0,"#0050ff","Mayotte
Exports: 0",0
"NCL","New Caledonia",0,0,"#0050ff","New Caledonia
Exports: 0",0
"NIU","Niue",0,0,"#0050ff","Niue
Exports: 0",0
"NRU","Nauru",0,0,"#0050ff","Nauru
Exports: 0",0
"PNG","Papua New Guinea",0,0,"#0050ff","Papua New Guinea
Exports: 0",0
"PRI","Puerto Rico",0,0,"#0050ff","Puerto Rico
Exports: 0",0
"PRY","Paraguay",0,0,"#0050ff","Paraguay
Exports: 0",0
"PSE","State of Palestine",0,0,"#0050ff","State of Palestine
Exports: 0",0
"REU","Reunion Island",0,0,"#0050ff","Reunion Island
Exports: 0",0
"RWA","Rwanda",0,0,"#0050ff","Rwanda
Exports: 0",0
"SDN","Sudan",0,0,"#0050ff","Sudan
Exports: 0",0
"SHN","Saint Helena",0,0,"#0050ff","Saint Helena
Exports: 0",0
"SLB","Solomon Islands",0,0,"#0050ff","Solomon Islands
Exports: 0",0
"SMR","San Marino",0,0,"#0050ff","San Marino
Exports: 0",0
"SOM","Somalia",0,0,"#0050ff","Somalia
Exports: 0",0
"SSD","South ?Sudan",0,0,"#0050ff","South ?Sudan
Exports: 0",0
"STP","Sao Tome and Principe",0,0,"#0050ff","Sao Tome and Principe
Exports: 0",0
"SYC","Seychelles",0,0,"#0050ff","Seychelles
Exports: 0",0
"TCA","Turks and Caicos Isds",0,0,"#0050ff","Turks and Caicos Isds
Exports: 0",0
"TGO","Togo",0,0,"#0050ff","Togo
Exports: 0",0
"THA","Thailand",0,0,"#0050ff","Thailand
Exports: 0",0
"TKL","Tokelau",0,0,"#0050ff","Tokelau
Exports: 0",0
"TON","Tonga",0,0,"#0050ff","Tonga
Exports: 0",0
"TUN","Tunisia",0,0,"#0050ff","Tunisia
Exports: 0",0
"TUV","Tuvalu",0,0,"#0050ff","Tuvalu
Exports: 0",0
"VAT","Holy See",0,0,"#0050ff","Holy See
Exports: 0",0
"VCT","Saint Vincent and the Grenadines",0,0,"#0050ff","Saint Vincent and the Grenadines
Exports: 0",0
"VGB","British Virgin Islands",0,0,"#0050ff","British Virgin Islands
Exports: 0",0
"VIR","U.S. Virgin Islands",0,0,"#0050ff","U.S. Virgin Islands
Exports: 0",0
"VUT","Vanuatu",0,0,"#0050ff","Vanuatu
Exports: 0",0
"WSM","Samoa",0,0,"#0050ff","Samoa
Exports: 0",0
"YEM","Yemen",0,0,"#0050ff","Yemen
Exports: 0",0
